%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0246.jpg			240	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0247.jpg			241	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0245.jpg			242	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0248.jpg			243	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0249.jpg			244	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0250.jpg			245	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0251.jpg			246	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0252.jpg			247	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0246.jpg			248	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0253.jpg			249	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0247.jpg			250	2
